"band","trigram"
"AC/DC","hollywood snakes alive"
"AC/DC","cannibalise tear flesh"
"AC/DC","classified lady killers"
"AC/DC","lady killers prayin"
"AC/DC","gun hot hot"
"AC/DC","hot hot hot"
"AC/DC","shot terminator uzi"
"AC/DC","terminator uzi makers"
"AC/DC","uzi makers regulators"
"AC/DC","makers regulators gonna"
"AC/DC","bad defender smoking"
"AC/DC","defender smoking holy"
"AC/DC","smoking holy joe"
"AC/DC","bad reputation climbing"
"AC/DC","bars gonna press"
"AC/DC","flesh rockin rollin"
"AC/DC","rockin rollin soldier"
"AC/DC","time black ice"
"AC/DC","road black ice"
"AC/DC","black ice black"
"AC/DC","ice black ice"
"AC/DC","runnin late don’t"
"AC/DC","black ice black"
"AC/DC","ice black ice"
"AC/DC","black ice black"
"AC/DC","ice black ice"
"AC/DC","black ice livin"
"AC/DC","black ice black"
"AC/DC","ice black ice"
"AC/DC","black ice black"
"AC/DC","ice black ice"
"AC/DC","black ice black"
"AC/DC","ice black ice"
"AC/DC","life black ice"
"AC/DC","life black ice"
"AC/DC","wares hauntin hotel"
"AC/DC","hauntin hotel bars"
"AC/DC","yeah yeah yeah"
"AC/DC","fine suits smoke"
"AC/DC","jumping jack kiss"
"AC/DC","game whoopsy daisy"
"AC/DC","luck au revoir"
"AC/DC","au revoir baby"
"AC/DC","alright hold tight"
"AC/DC","black widow fee"
"AC/DC","widow fee fia"
"AC/DC","fee fia foo"
"AC/DC","fia foo smell"
"AC/DC","brain shake brain"
"AC/DC","shake brain shake"
"AC/DC","brain shake brain"
"AC/DC","shake brain shake"
"AC/DC","brain shake brain"
"AC/DC","shake brain shake"
"AC/DC","brain shake brain"
"AC/DC","shake brain shake"
"AC/DC","lean rocking machine"
"AC/DC","hip hugging blue"
"AC/DC","hugging blue jean"
"AC/DC","blue jean dream"
"AC/DC","sweet sweet kiss"
"AC/DC","black widow fee"
"AC/DC","widow fee fia"
"AC/DC","fee fia foo"
"AC/DC","fia foo smell"
"AC/DC","brain shake brain"
"AC/DC","shake brain shake"
"AC/DC","brain shake brain"
"AC/DC","shake brain shake"
"AC/DC","brain shake ready"
"AC/DC","shake brain shake"
"AC/DC","brain shake brain"
"AC/DC","shake brain shake"
"AC/DC","brain shake brain"
"AC/DC","shake brain shake"
"AC/DC","brain shake brain"
"AC/DC","shake brain shake"
"AC/DC","brain shake brain"
"AC/DC","shake brain shake"
"AC/DC","brain shake brain"
"AC/DC","shake brain shake"
"AC/DC","brain shake brain"
"AC/DC","shake brain shake"
"AC/DC","rockin suicide brain"
"AC/DC","suicide brain shake"
"AC/DC","shake brain shake"
"AC/DC","renegade hot feet"
"AC/DC","shade street shuffle"
"AC/DC","tough childhoods examinations"
"AC/DC","hot wired cars"
"AC/DC","wired cars sneak"
"AC/DC","cars sneak thieves"
"AC/DC","rule tough breaks"
"AC/DC","society rash ready"
"AC/DC","real rough ride"
"AC/DC","rule tough breaks"
"AC/DC","regulation ties regulation"
"AC/DC","ties regulation shoes"
"AC/DC","oooh yeah burnin"
"AC/DC","yeah burnin alive"
"AC/DC","burnin alive set"
"AC/DC","gonna burn burnin"
"AC/DC","burn burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","town called hope"
"AC/DC","gonna burn burnin"
"AC/DC","burn burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","war burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","town called hope"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive burnin"
"AC/DC","alive burnin alive"
"AC/DC","burnin alive yeah"
"AC/DC","alive yeah watch"
"AC/DC","paying c.o.d care"
"AC/DC","saturday night standing"
"AC/DC","ay ay ay"
"AC/DC","ay ay ay"
"AC/DC","ay ay ay"
"AC/DC","ay ay ay"
"AC/DC","ay ay ay"
"AC/DC","ay ay ay"
"AC/DC","ay ay ay"
"AC/DC","ay ay ay"
"AC/DC","morning till midnight"
"AC/DC","morning till midnight"
"AC/DC","morning till midnight"
"AC/DC","morning till midnight"
"AC/DC","morning till midnight"
"AC/DC","late night shift"
"AC/DC","dance band's playing"
"AC/DC","sipping fine wine"
"AC/DC","fucking door excuse"
"AC/DC","heave'n hanging upside"
"AC/DC","home runnin round"
"AC/DC","wrong crowd goin"
"AC/DC","loud bad cards"
"AC/DC","bad hand wanna"
"AC/DC","hand wanna dance"
"AC/DC","wanna dance wanna"
"AC/DC","dance wanna sing"
"AC/DC","wanna sing whip"
"AC/DC","roll call goin"
"AC/DC","bang gettin caught"
"AC/DC","gonna stop ooh"
"AC/DC","stop ooh tonight"
"AC/DC","yeah yeah yeah"
"AC/DC","ah x17 yeeeeeeeeeeeah"
"AC/DC","x17 yeeeeeeeeeeeah yeah"
"AC/DC","time lover heart"
"AC/DC","hand cold hearted"
"AC/DC","understand cold hearted"
"AC/DC","pride deep inside"
"AC/DC","mother's son reputation"
"AC/DC","son reputation broken"
"AC/DC","reputation broken glass"
"AC/DC","meet leeroy kincaid"
"AC/DC","double decker bed"
"AC/DC","double decker bed"
"AC/DC","move baby feel"
"AC/DC","oil yeah pull"
"AC/DC","stuff baby feel"
"AC/DC","move baby feel"
"AC/DC","ooooh yeah yeeeeeeeah"
"AC/DC","yeah yeeeeeeeah baby"
"AC/DC","walkin sideways sideway"
"AC/DC","sideways sideway walkin"
"AC/DC","hatch walkin sideways"
"AC/DC","walkin sideways sideway"
"AC/DC","sideways sideway walkin"
"AC/DC","cream blues ointment"
"AC/DC","em dead walkin"
"AC/DC","dead walkin sideways"
"AC/DC","walkin sideways sideway"
"AC/DC","sideways sideway walkin"
"AC/DC","cream blues ointment"
"AC/DC","stops em walking"
"AC/DC","em walking sideway"
"AC/DC","walking sideway walkin"
"AC/DC","blues sideway walkin"
"AC/DC","sideway walkin sideway"
"AC/DC","walkin sideway walkin"
"AC/DC","rights sit tight"
"AC/DC","uncle sam stand"
"AC/DC","dotted line boy"
"AC/DC","strangers stranger danger"
"AC/DC","talk danger danger"
"AC/DC","strangers danger danger"
"AC/DC","natural charm repeat"
"AC/DC","heels lookin fine"
"AC/DC","sweating heat soak"
"AC/DC","night decibel decibel"
"AC/DC","rocking standing proud"
"AC/DC","standing proud decibel"
"AC/DC","roll decibel rain"
"AC/DC","night til dawn"
"AC/DC","til dawn spread"
"AC/DC","ground decibel decibel"
"AC/DC","decibel decibel decibel"
"AC/DC","burnin fear goin"
"AC/DC","violin bow makes"
"AC/DC","ring 36 24"
"AC/DC","36 24 36"
"AC/DC","24 36 hey"
"AC/DC","crime dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","teardrops start fella"
"AC/DC","start fella pick"
"AC/DC","ball hey dirty"
"AC/DC","hey dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap yeahhh"
"AC/DC","hey dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap ohhhh"
"AC/DC","cheap ohhhh dirty"
"AC/DC","ohhhh dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap concrete"
"AC/DC","cheap concrete shoes"
"AC/DC","concrete shoes cyanide"
"AC/DC","shoes cyanide tnt"
"AC/DC","dirt cheap neck"
"AC/DC","cheap neck ties"
"AC/DC","neck ties contracts"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirt cheap dirty"
"AC/DC","cheap dirty deeds"
"AC/DC","dirty deeds dirty"
"AC/DC","deeds dirty deeds"
"AC/DC","dirty deeds dirty"
"AC/DC","deeds dirty deeds"
"AC/DC","dirt cheap ohhhhh"
"AC/DC","cheap ohhhhh honey"
"AC/DC","ohhhhh honey yeah"
"AC/DC","honey yeah honey"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes breathin"
"AC/DC","eyes breathin breathin"
"AC/DC","breathin breathin heavy"
"AC/DC","breathin heavy heavy"
"AC/DC","heavy heavy heavy"
"AC/DC","heavy heavy breathin"
"AC/DC","heavy breathin send"
"AC/DC","breathin send shivers"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dirty eyes dirty"
"AC/DC","eyes dirty eyes"
"AC/DC","dog eat dog"
"AC/DC","eat dog eat"
"AC/DC","dog eat cat"
"AC/DC","french eat frog"
"AC/DC","hey hey hey"
"AC/DC","dog eat dog"
"AC/DC","eat dog dog"
"AC/DC","dog dog eat"
"AC/DC","dog eat dog"
"AC/DC","eat dog dog"
"AC/DC","dog dog eat"
"AC/DC","dog eat dog"
"AC/DC","eat dog read"
"AC/DC","deep blue sea"
"AC/DC","fifty cent millionaire"
"AC/DC","roller welfare sitting"
"AC/DC","radio suzy baby"
"AC/DC","social security hiding"
"AC/DC","cry sheriff knocking"
"AC/DC","time flies sitting"
"AC/DC","sailing boat sipping"
"AC/DC","champaign suzy baby"
"AC/DC","paper cup floating"
"AC/DC","black shadow hangin"
"AC/DC","shoulder black mark"
"AC/DC","bad poison runnin"
"AC/DC","evil talks arouse"
"AC/DC","black widow weavin"
"AC/DC","widow weavin evil"
"AC/DC","weavin evil notions"
"AC/DC","evil notions dark"
"AC/DC","notions dark secrets"
"AC/DC","dark secrets bein"
"AC/DC","secrets bein spun"
"AC/DC","dark dark secrets"
"AC/DC","green green eyes"
"AC/DC","bad wild beast"
"AC/DC","ya mine taste"
"AC/DC","mine taste ya"
"AC/DC","taste ya kiss"
"AC/DC","ya kiss sweet"
"AC/DC","kiss sweet lips"
"AC/DC","sweet lips divine"
"AC/DC","blue body curves"
"AC/DC","body curves legs"
"AC/DC","curves legs that'll"
"AC/DC","legs that'll break"
"AC/DC","lady bites hard"
"AC/DC","bites hard style"
"AC/DC","hard style drips"
"AC/DC","blue body curves"
"AC/DC","legs that'll shake"
"AC/DC","hot touch wanna"
"AC/DC","disguise bad dog"
"AC/DC","hot shot bad"
"AC/DC","shot bad dog"
"AC/DC","mine suicidal voltage"
"AC/DC","suicidal voltage line"
"AC/DC","sends signals outta"
"AC/DC","signals outta distress"
"AC/DC","roll music itchin"
"AC/DC","fight makin love"
"AC/DC","makin love drunk"
"AC/DC","bite rock roll"
"AC/DC","rock roll devil"
"AC/DC","bitch makin heat"
"AC/DC","makin heat beatin"
"AC/DC","guitar bite yeah"
"AC/DC","bite yeah yeah"
"AC/DC","guitar bite heads"
"AC/DC","oooh salute oooh"
"AC/DC","salute oooh ooooh"
"AC/DC","oooh ooooh yeah"
"AC/DC","guitar fire ready"
"AC/DC","x4 shoot shoot"
"AC/DC","lord hangin round"
"AC/DC","furor baby frame"
"AC/DC","mine gonna build"
"AC/DC","furor baby bring"
"AC/DC","furor baby feel"
"AC/DC","furor baby feel"
"AC/DC","start doctor doctor"
"AC/DC","street wearing dresses"
"AC/DC","backseat rhythm backseat"
"AC/DC","rhythm backseat rhythm"
"AC/DC","backseat rhythm backseat"
"AC/DC","rhythm backseat rhythm"
"AC/DC","backseat rhythm backseat"
"AC/DC","rhythm backseat rhythm"
"AC/DC","backseat rhythm rock"
"AC/DC","roll rhythm rock"
"AC/DC","wild man's night"
"AC/DC","90 degrees ohh"
"AC/DC","bone guitar solo"
"AC/DC","luck giving everthing"
"AC/DC","bone ruby ruby"
"AC/DC","drinkin whiskey baby"
"AC/DC","bout half past"
"AC/DC","half past ten"
"AC/DC","private eye forget"
"AC/DC","travel south south"
"AC/DC","red light district"
"AC/DC","pressure rise hear"
"AC/DC","whistle blow bought"
"AC/DC","bedroom door woman"
"AC/DC","door woman shes"
"AC/DC","woman shes aint"
"AC/DC","money disposable blues"
"AC/DC","disposable blues sleazy"
"AC/DC","blues sleazy hotels"
"AC/DC","trouble forever detained"
"AC/DC","forever detained goodbye"
"AC/DC","detained goodbye goodbye"
"AC/DC","goodbye goodbye goodbye"
"AC/DC","game goodbye goodbye"
"AC/DC","goodbye goodbye goodbye"
"AC/DC","bad luck hey"
"AC/DC","balls yeah hey"
"AC/DC","balls 3x yeah"
"AC/DC","3x yeah yeah"
"AC/DC","fixed abode quick"
"AC/DC","abode quick draw"
"AC/DC","sweet talker lover"
"AC/DC","dictator gonna mark"
"AC/DC","desire quick draw"
"AC/DC","real entertainer mischief"
"AC/DC","entertainer mischief maker"
"AC/DC","mischief maker lover"
"AC/DC","hail caesar hail"
"AC/DC","caesar hail hail"
"AC/DC","hail caesar hail"
"AC/DC","caesar hail hail"
"AC/DC","richter scale rockin"
"AC/DC","richter scale swinging"
"AC/DC","hail caesar hail"
"AC/DC","caesar hail hail"
"AC/DC","hail caesar hail"
"AC/DC","caesar hail hail"
"AC/DC","richter scale swingin"
"AC/DC","hail hail hail"
"AC/DC","hail hail hail"
"AC/DC","hail hail hail"
"AC/DC","hail hail hail"
"AC/DC","hail hail hail"
"AC/DC","hail hail hail"
"AC/DC","hail hail hail"
"AC/DC","hail hail hail"
"AC/DC","hail caesar hail"
"AC/DC","caesar hail hail"
"AC/DC","hail caesar hail"
"AC/DC","caesar hail hail"
"AC/DC","hail caesar hail"
"AC/DC","caesar hail hail"
"AC/DC","hail caesar hail"
"AC/DC","caesar hail hail"
"AC/DC","rollin rock electric"
"AC/DC","rock electric shock"
"AC/DC","round smokin rings"
"AC/DC","lightnin rod strike"
"AC/DC","hot gonna hit"
"AC/DC","harder yeah yeeeeeeeeaahh"
"AC/DC","yeah yeeeeeeeeaahh harder"
"AC/DC","rock yeah hard"
"AC/DC","harder harder harder"
"AC/DC","harder harder harder"
"AC/DC","rock whiskey gin"
"AC/DC","tequila white lightnin"
"AC/DC","oooh gonna roll"
"AC/DC","drink gonna drink"
"AC/DC","gettin ready ow"
"AC/DC","yow ready heatseeker"
"AC/DC","heatseeker heatseeker yeah"
"AC/DC","roll mama don"
"AC/DC","mama don told"
"AC/DC","papa don scold"
"AC/DC","superstition black cat"
"AC/DC","mama don told"
"AC/DC","daddy don scold"
"AC/DC","water blood money"
"AC/DC","blood money lyin"
"AC/DC","main street breathe"
"AC/DC","mama don told"
"AC/DC","home hot lovin"
"AC/DC","hot lovin trigger"
"AC/DC","lovin trigger happy"
"AC/DC","trigger happy feelin"
"AC/DC","happy feelin touchin"
"AC/DC","bad mama don"
"AC/DC","mama don told"
"AC/DC","papa don scold"
"AC/DC","lives nobody's putting"
"AC/DC","hell's bells yeah"
"AC/DC","bells yeah hell's"
"AC/DC","yeah hell's bells"
"AC/DC","ringing hell's bells"
"AC/DC","white light flashing"
"AC/DC","lives nobody's puttin"
"AC/DC","yeow hell's bells"
"AC/DC","hell's bells satan's"
"AC/DC","bells satan's comin"
"AC/DC","sky hell's bells"
"AC/DC","hell's bells gonna"
"AC/DC","bells gonna split"
"AC/DC","night hell's bells"
"AC/DC","fight yeah ow"
"AC/DC","yeah ow ow"
"AC/DC","ow ow ow"
"AC/DC","ow ow ow"
"AC/DC","ow ow hell's"
"AC/DC","ow hell's bells"
"AC/DC","roll mumble mumble"
"AC/DC","mumble mumble spotlight"
"AC/DC","roll wine women"
"AC/DC","voltage wine women"
"AC/DC","roll living easy"
"AC/DC","living easy livin"
"AC/DC","easy livin free"
"AC/DC","livin free season"
"AC/DC","free season ticket"
"AC/DC","stop signs speedin"
"AC/DC","signs speedin limit"
"AC/DC","speedin limit nobody's"
"AC/DC","limit nobody's gonna"
"AC/DC","nobody's gonna slow"
"AC/DC","wheel gonna spin"
"AC/DC","nobody's gonna mess"
"AC/DC","round hey satan"
"AC/DC","hey satan paid"
"AC/DC","rockin band hey"
"AC/DC","band hey mama"
"AC/DC","hell dont stop"
"AC/DC","fat cadillac built"
"AC/DC","honk that'll blow"
"AC/DC","hot dog kickin"
"AC/DC","tune gotta slip"
"AC/DC","honky tonk woman"
"AC/DC","sugar boot money"
"AC/DC","boot money baby"
"AC/DC","money baby that'll"
"AC/DC","baby that'll kill"
"AC/DC","honky tonk 15"
"AC/DC","tonk 15 golden"
"AC/DC","15 golden mile"
"AC/DC","golden mile gotta"
"AC/DC","mile gotta bald"
"AC/DC","gotta bald headed"
"AC/DC","bald headed woman"
"AC/DC","headed woman loaded"
"AC/DC","wrong town hit"
"AC/DC","humdinger bell ringer"
"AC/DC","mud slinger gold"
"AC/DC","slinger gold digger"
"AC/DC","jazz ball stripper"
"AC/DC","tightenin frightenin givin"
"AC/DC","roll gettin robbed"
"AC/DC","gettin robbed gettin"
"AC/DC","robbed gettin stoned"
"AC/DC","gettin stoned gettin"
"AC/DC","stoned gettin beat"
"AC/DC","broken boned gettin"
"AC/DC","rock roll band"
"AC/DC","roll hotel motel"
"AC/DC","wanna cry lady"
"AC/DC","gettin grey gettin"
"AC/DC","grey gettin ripped"
"AC/DC","paid gettin sold"
"AC/DC","judge's gavel fell"
"AC/DC","gavel fell jury"
"AC/DC","fell jury found"
"AC/DC","headin home gonna"
"AC/DC","hand bullets started"
"AC/DC","bullets started flying"
"AC/DC","free jailbreak jailbreak"
"AC/DC","chasin spotlights sirens"
"AC/DC","spotlights sirens rifles"
"AC/DC","sirens rifles firing"
"AC/DC","runnin round town"
"AC/DC","mother's son hey"
"AC/DC","ma's advice kicked"
"AC/DC","cryin shame double"
"AC/DC","gonna win til"
"AC/DC","thrill sugar cane"
"AC/DC","sugar cane sugar"
"AC/DC","cane sugar cane"
"AC/DC","sugar cane dressin"
"AC/DC","fuse alight feel"
"AC/DC","kissin dynamite feel"
"AC/DC","kissin dynamite feel"
"AC/DC","kissin dynamite feel"
"AC/DC","world alight set"
"AC/DC","alight set world"
"AC/DC","set world alight"
"AC/DC","world alight feel"
"AC/DC","kissin dynamite feel"
"AC/DC","kissin dynamite feel"
"AC/DC","kissin dynamite feel"
"AC/DC","kissin dynamite feel"
"AC/DC","kissin dynamite feel"
"AC/DC","kissin dynamite feel"
"AC/DC","kissin dynamite feel"
"AC/DC","kissin dynamite dynamite"
"AC/DC","dynamite gonna blow"
"AC/DC","gonna blow dynamite"
"AC/DC","recreational vow dynamite"
"AC/DC","kissin dynamite feel"
"AC/DC","kissin dynamite feel"
"AC/DC","kissin dynamite feel"
"AC/DC","landslide landslide walking"
"AC/DC","landslide walking talking"
"AC/DC","walking talking rocking"
"AC/DC","talking rocking landslide"
"AC/DC","share daddy expecting"
"AC/DC","rocking double dare"
"AC/DC","landslide landslide landslide"
"AC/DC","landslide landslide landslide"
"AC/DC","landslide landslide preacher"
"AC/DC","promised land momma"
"AC/DC","landslide walking talking"
"AC/DC","walking talking rocking"
"AC/DC","talking rocking landslide"
"AC/DC","rocking landslide landslide"
"AC/DC","landslide landslide landslide"
"AC/DC","landslide landslide landslide"
"AC/DC","landslide landslide landslide"
"AC/DC","walk talk rocking"
"AC/DC","talk rocking landslide"
"AC/DC","free flight driving"
"AC/DC","feaver burning faster"
"AC/DC","fifteen million fingers"
"AC/DC","million fingers learning"
"AC/DC","light sound drums"
"AC/DC","sound drums guitar"
"AC/DC","decibel rocking band"
"AC/DC","lose lips sink"
"AC/DC","lips sink ships"
"AC/DC","time bomb blowing"
"AC/DC","ya ya ya"
"AC/DC","ya ya ya"
"AC/DC","ya ya ooooh"
"AC/DC","ha ha hey"
"AC/DC","ha hey sugar"
"AC/DC","hey sugar baby"
"AC/DC","cruising real slowly"
"AC/DC","music run dry"
"AC/DC","nah nah nah"
"AC/DC","nah nah nah"
"AC/DC","nah nah nah"
"AC/DC","nah nah nah"
"AC/DC","front row movin"
"AC/DC","coca cola ooo"
"AC/DC","cola ooo baby"
"AC/DC","looked sweet cruisin"
"AC/DC","motorcycle seat oozin"
"AC/DC","seat oozin could've"
"AC/DC","oozin could've bin"
"AC/DC","nightmar could've bin"
"AC/DC","stage playing rock"
"AC/DC","playing rock roll"
"AC/DC","hit ooo baby"
"AC/DC","rollin dice send"
"AC/DC","live wire gonna"
"AC/DC","wire gonna set"
"AC/DC","live wire holy"
"AC/DC","wire holy smoke"
"AC/DC","sweet desire cooler"
"AC/DC","rollin dice wilder"
"AC/DC","gonna burn tonight"
"AC/DC","feel repeat repeat"
"AC/DC","feel repeat repeat"
"AC/DC","repeat repeat feel"
"AC/DC","love bomb love"
"AC/DC","bomb love bomber"
"AC/DC","love bomb love"
"AC/DC","bomb love bomber"
"AC/DC","love bomb comin"
"AC/DC","love bomb love"
"AC/DC","bomb love bomb"
